project,stage,subject,record,matrix,band,component,global_score,motor_score,motority,global_second_score,global_locality,global_locality_ratio,global_n90,global_fraction90,motor_second_score,motor_locality,motor_locality_ratio,motor_n90,motor_fraction90,global_source_idx,motor_source_idx,global_orientation,motor_orientation,separability_score,final_score,global_x_mm,global_y_mm,global_z_mm,motor_x_mm,motor_y_mm,motor_z_mm,matrix_path
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",50,0.8218641413952701,0.7833558656677398,0.9531452051647428,0.8172930414239226,0.004571099971347525,1.0055929755175494,40,0.057971014492753624,0.7824826801886993,0.0008731854790405835,1.001115916685632,30,0.22900763358778625,62,484,2,0,0.5592047400980416,0.8149308433274515,30.0,-60.0,-45.0,-30.0,-60.0,30.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf"
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",51,0.9536672979058166,0.9161031351377903,0.9606108305794752,0.9516687200353686,0.001998577870447993,1.0021000772940962,141,0.20434782608695654,0.915700561927501,0.00040257321028924764,1.0004396341195225,32,0.24427480916030533,304,405,0,0,0.573610556431174,0.8676330823452252,-15.0,-60.0,0.0,-30.0,-45.0,15.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf"
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",52,0.9715034617372269,0.9708873165512597,0.9993657817905606,0.9708873165512597,0.0006161451859671985,1.000634620697442,158,0.2289855072463768,0.9700705520859585,0.0008167644653012118,1.0008419639824597,54,0.4122137404580153,415,414,1,1,0.582436549626862,0.9060124725240656,-15.0,-30.0,15.0,-30.0,-30.0,15.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf"
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",53,0.8056559425329193,0.8056559425329193,1.0,0.804378964137046,0.0012769783958732628,1.0015875333055773,205,0.2971014492753623,0.804378964137046,0.0012769783958732628,1.0015875333055773,70,0.5343511450381679,512,512,1,1,0.6000339386002644,0.8519863676065746,0.0,-15.0,30.0,0.0,-15.0,30.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf"
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",54,0.9621452385385121,0.9475803182770214,0.9848620357113499,0.9614061698635107,0.0007390686750013975,1.0007687371874328,173,0.25072463768115943,0.9436580888410888,0.003922229435932567,1.0041564094901676,45,0.3435114503816794,407,493,1,1,0.6263503641331432,0.9001111002936936,0.0,-45.0,15.0,-15.0,-45.0,30.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf"
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf","[10, 14]",55,0.8072749308674649,0.755409434282446,0.935752375551553,0.8050303995192006,0.0022445313482643003,1.0027881324104093,42,0.06086956521739131,0.7427262704021491,0.012683163880296888,1.0170764982817015,12,0.0916030534351145,213,405,2,2,0.6436140400681793,0.8142046790106908,-15.0,-60.0,-15.0,-30.0,-45.0,15.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[10, 14]_robust_concat+reg0.1_im_rec_calib.hdf"
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 15]",0,0.8379833924561517,0.8379833924561517,1.0,0.8375752392479808,0.0004081532081708916,1.0004873033359216,122,0.17681159420289855,0.8375752392479808,0.0004081532081708916,1.0004873033359216,53,0.40458015267175573,604,604,1,1,0.7895563092972862,0.9012054492191103,-30.0,15.0,45.0,-30.0,15.0,45.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[8, 15]_robust_concat+reg0.1_im_rec_calib.hdf"
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 15]",1,0.8536765966631064,0.8510882599834705,0.9969680126059994,0.8510882599834705,0.002588336679635872,1.0030412082992264,96,0.1391304347826087,0.8448929064129009,0.006195353570569551,1.0073327087060924,30,0.22900763358778625,617,608,1,1,0.33112804410847785,0.81274210548861,30.0,30.0,45.0,30.0,15.0,45.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[8, 15]_robust_concat+reg0.1_im_rec_calib.hdf"
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 15]",2,0.8532202127529696,0.8532202127529696,1.0,0.8529652472201943,0.00025496553277526424,1.0002989166717005,104,0.15072463768115943,0.8529652472201943,0.00025496553277526424,1.0002989166717005,46,0.3511450381679389,607,607,1,1,0.22969629776888578,0.7945663340173165,15.0,15.0,45.0,15.0,15.0,45.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[8, 15]_robust_concat+reg0.1_im_rec_calib.hdf"
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 15]",3,0.820492468271012,0.7848152914068767,0.9565173621406712,0.8166302411506859,0.0038622271203260228,1.0047294686453,66,0.09565217391304348,0.7832727447459996,0.0015425466608770533,1.0019693608276607,83,0.6335877862595419,115,586,2,1,0.20273715765522837,0.7456655964867545,-45.0,45.0,-45.0,-30.0,-15.0,45.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[8, 15]_robust_concat+reg0.1_im_rec_calib.hdf"
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 15]",4,0.8901107602877687,0.8063154115669224,0.9058596385311019,0.8775290602757776,0.012581700011991104,1.014337644850231,56,0.08115942028985507,0.8026691744973591,0.0036462370695633517,1.0045426399635276,40,0.3053435114503817,54,437,2,1,0.08675033229345142,0.707197297846109,-15.0,45.0,-60.0,0.0,0.0,15.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[8, 15]_robust_concat+reg0.1_im_rec_calib.hdf"
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 15]",5,0.8134591234511416,0.8134591234511416,1.0,0.8125492033154356,0.0009099201357060105,1.0011198338906657,104,0.15072463768115943,0.8125492033154356,0.0009099201357060105,1.0011198338906657,63,0.48091603053435117,597,597,2,2,0.057968790654604585,0.7463044513388204,0.0,0.0,45.0,0.0,0.0,45.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[8, 15]_robust_concat+reg0.1_im_rec_calib.hdf"
pr_AstroSync,exp,01TG,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 15]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 15]",6,0.7329018853436222,0.6146560004575625,0.8386606894446452,0.7323988908690586,0.0005029944745635895,1.000686776674343,20,0.028985507246376812,0.614592234463422,6.376599414048556e-05,1.0001037533352437,35,0.26717557251908397,114,616,2,0,0.025764155915192766,0.5976797415932759,60.0,30.0,-45.0,15.0,30.0,45.0,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\01TG\MATRIX_[8, 15]_robust_concat+reg0.1_im_rec_calib.hdf"
