session,record,rank,classifier,band,components,absolute_components,component_assessment_score,balanced accuracy,brier score,probability_plot_brier_score,ranking_score,component_score_values,accuracy,roc-auc,f1,recall,precision,log loss,component_plot,probability_plot,pipeline,sel_comp,TPR,TNR,FPR,FNR,TP,TN,FP,FN,fs,component_score_details
19VB,qm_rec_calib.hdf,1,lda,"[9.0, 13.0]","[0, -1]","[0, 55]",11.8035,1.0,8.794368983129247e-09,2.1168766536314617e-16,23.606999896195664,"[13.748000000000001, 9.859]",1.0,1.0,1.0,1.0,1.0,1.7132933985140938e-05,results\pr_AstroSync\exp\best_band_component_pairs\19VB\qm_rec_calib\components\rank_1.png,results\pr_AstroSync\exp\best_band_component_pairs\19VB\qm_rec_calib\probabilities\rank_1.png,split_before_csp,"(0, -1)",1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,1000.0,"[{'component': 0, 'contra': 9.182, 'ipsi': 4.566, 'component_score': 13.748000000000001}, {'component': -1, 'contra': 4.218, 'ipsi': 5.641, 'component_score': 9.859}]"
19VB,qm_rec_calib.hdf,2,lda,"[8.0, 12.0]","[0, -1]","[0, 55]",11.198999999999998,1.0,7.821491937965042e-08,8.680164959197458e-17,22.397999124071113,"[12.578999999999999, 9.818999999999999]",1.0,1.0,1.0,1.0,1.0,6.377468696693615e-05,results\pr_AstroSync\exp\best_band_component_pairs\19VB\qm_rec_calib\components\rank_2.png,results\pr_AstroSync\exp\best_band_component_pairs\19VB\qm_rec_calib\probabilities\rank_2.png,split_before_csp,"(0, -1)",1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,1000.0,"[{'component': 0, 'contra': 8.921, 'ipsi': 3.658, 'component_score': 12.578999999999999}, {'component': -1, 'contra': 4.111, 'ipsi': 5.708, 'component_score': 9.818999999999999}]"
19VB,qm_rec_calib.hdf,3,lda,"[10.0, 14.0]","[0, -1]","[0, 55]",10.8525,0.9666666666666667,0.012522713894338176,6.872216994104363e-16,21.56909724746169,"[12.318, 9.387]",0.9666666666666667,1.0,0.9629629629629629,0.9333333333333332,1.0,0.031639462391210224,results\pr_AstroSync\exp\best_band_component_pairs\19VB\qm_rec_calib\components\rank_3.png,results\pr_AstroSync\exp\best_band_component_pairs\19VB\qm_rec_calib\probabilities\rank_3.png,split_before_csp,"(0, -1)",0.9333333333333332,1.0,0.0,0.06666666666666667,4.666666666666667,5.0,0.0,0.3333333333333333,1000.0,"[{'component': 0, 'contra': 8.452, 'ipsi': 3.866, 'component_score': 12.318}, {'component': -1, 'contra': 4.101, 'ipsi': 5.286, 'component_score': 9.387}]"
20EC,im_rec_calib.hdf,1,lda,"[10.0, 14.0]","[0, -1]","[0, 55]",4.227499999999999,0.9333333333333332,0.06672179158037646,0.05727393430972218,8.172933626093958,"[4.090999999999999, 4.364]",0.9333333333333332,0.9866666666666667,0.9166666666666666,0.8666666666666667,1.0,0.2326337818546683,results\pr_AstroSync\exp\best_band_component_pairs\20EC\im_rec_calib\components\rank_1.png,results\pr_AstroSync\exp\best_band_component_pairs\20EC\im_rec_calib\probabilities\rank_1.png,split_before_csp,"(0, -1)",0.8666666666666667,1.0,0.0,0.13333333333333333,4.333333333333333,5.0,0.0,0.6666666666666666,1000.0,"[{'component': 0, 'contra': 2.506, 'ipsi': 1.585, 'component_score': 4.090999999999999}, {'component': -1, 'contra': 2.33, 'ipsi': 2.034, 'component_score': 4.364}]"
20EC,im_rec_calib.hdf,2,lda,"[9.0, 13.0]","[0, -1]","[0, 55]",4.156000000000001,0.8666666666666667,0.10210512946093035,0.0407801978449658,7.8876510819603745,"[3.987, 4.325]",0.8666666666666667,0.9866666666666667,0.8333333333333334,0.7333333333333334,1.0,0.5173193249788887,results\pr_AstroSync\exp\best_band_component_pairs\20EC\im_rec_calib\components\rank_2.png,results\pr_AstroSync\exp\best_band_component_pairs\20EC\im_rec_calib\probabilities\rank_2.png,split_before_csp,"(0, -1)",0.7333333333333334,1.0,0.0,0.26666666666666666,3.6666666666666665,5.0,0.0,1.3333333333333333,1000.0,"[{'component': 0, 'contra': 2.364, 'ipsi': 1.623, 'component_score': 3.987}, {'component': -1, 'contra': 2.484, 'ipsi': 1.841, 'component_score': 4.325}]"
20EC,im_rec_calib.hdf,3,lda,"[8.0, 12.0]","[0, -1]","[0, 55]",3.9730000000000003,0.9,0.10505592379220925,0.04379966390498158,7.528612814773553,"[3.886, 4.0600000000000005]",0.9,0.96,0.8571428571428571,0.7999999999999999,1.0,1.364755601727028,results\pr_AstroSync\exp\best_band_component_pairs\20EC\im_rec_calib\components\rank_3.png,results\pr_AstroSync\exp\best_band_component_pairs\20EC\im_rec_calib\probabilities\rank_3.png,split_before_csp,"(0, -1)",0.7999999999999999,1.0,0.0,0.19999999999999998,4.0,5.0,0.0,1.0,1000.0,"[{'component': 0, 'contra': 2.454, 'ipsi': 1.432, 'component_score': 3.886}, {'component': -1, 'contra': 2.369, 'ipsi': 1.691, 'component_score': 4.0600000000000005}]"
20EC,qm_rec_calib.hdf,1,lda,"[8.0, 12.0]","[0, -1]","[0, 55]",2.7455,0.6333333333333333,0.31860671311427363,0.19688869745224508,4.616265269144762,"[2.073, 3.418]",0.6333333333333333,0.6933333333333334,0.6046176046176046,0.6666666666666666,0.7592592592592592,1.9744252860986264,results\pr_AstroSync\exp\best_band_component_pairs\20EC\qm_rec_calib\components\rank_1.png,results\pr_AstroSync\exp\best_band_component_pairs\20EC\qm_rec_calib\probabilities\rank_1.png,split_before_csp,"(0, -1)",0.6666666666666666,0.6,0.39999999999999997,0.3333333333333333,3.3333333333333335,3.0,2.0,1.6666666666666667,1000.0,"[{'component': 0, 'contra': 1.012, 'ipsi': 1.061, 'component_score': 2.073}, {'component': -1, 'contra': 1.351, 'ipsi': 2.067, 'component_score': 3.418}]"
20EC,qm_rec_calib.hdf,2,lda,"[9.0, 13.0]","[0, -1]","[0, 55]",2.3345000000000002,0.7000000000000001,0.2489265336563311,0.18958784023480177,4.087881007179296,"[1.924, 2.745]",0.7000000000000001,0.8000000000000002,0.6495726495726496,0.6666666666666666,0.8333333333333334,0.9208814581733389,results\pr_AstroSync\exp\best_band_component_pairs\20EC\qm_rec_calib\components\rank_2.png,results\pr_AstroSync\exp\best_band_component_pairs\20EC\qm_rec_calib\probabilities\rank_2.png,split_before_csp,"(0, -1)",0.6666666666666666,0.7333333333333334,0.26666666666666666,0.3333333333333333,3.3333333333333335,3.6666666666666665,1.3333333333333333,1.6666666666666667,1000.0,"[{'component': 0, 'contra': 0.913, 'ipsi': 1.011, 'component_score': 1.924}, {'component': -1, 'contra': 0.981, 'ipsi': 1.764, 'component_score': 2.745}]"
20EC,qm_rec_calib.hdf,3,lda,"[8.0, 15.0]","[0, -1]","[0, 55]",2.3295,0.7000000000000001,0.2686131790458015,0.2069833826202391,4.033265599412805,"[2.01, 2.649]",0.7000000000000001,0.7066666666666667,0.6919006919006918,0.6666666666666666,0.8333333333333334,1.6557245178958275,results\pr_AstroSync\exp\best_band_component_pairs\20EC\qm_rec_calib\components\rank_3.png,results\pr_AstroSync\exp\best_band_component_pairs\20EC\qm_rec_calib\probabilities\rank_3.png,split_before_csp,"(0, -1)",0.6666666666666666,0.7333333333333334,0.26666666666666666,0.3333333333333333,3.3333333333333335,3.6666666666666665,1.3333333333333333,1.6666666666666667,1000.0,"[{'component': 0, 'contra': 0.981, 'ipsi': 1.029, 'component_score': 2.01}, {'component': -1, 'contra': 0.994, 'ipsi': 1.655, 'component_score': 2.649}]"
21EC,im_rec_calib.hdf,1,lda,"[8.0, 12.0]","[0, -1]","[0, 55]",4.507,0.9,0.06800717166274821,0.03023819191183976,8.707491677315993,"[3.779, 5.234999999999999]",0.9,0.9333333333333332,0.9023569023569022,0.9333333333333332,0.888888888888889,0.5785669770326686,results\pr_AstroSync\exp\best_band_component_pairs\21EC\im_rec_calib\components\rank_1.png,results\pr_AstroSync\exp\best_band_component_pairs\21EC\im_rec_calib\probabilities\rank_1.png,split_before_csp,"(0, -1)",0.9333333333333332,0.8666666666666667,0.13333333333333333,0.06666666666666667,4.666666666666667,4.333333333333333,0.6666666666666666,0.3333333333333333,1000.0,"[{'component': 0, 'contra': 2.632, 'ipsi': 1.147, 'component_score': 3.779}, {'component': -1, 'contra': 2.73, 'ipsi': 2.505, 'component_score': 5.234999999999999}]"
